year,wbhao,state,igen,lths,scol,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
1995,Hispanic,New York,2nd Generation,.29936498,.33717534,.10635068,.81431961,.57468259,.43550754,.60148364,,,,36597.402
1995,White,New Jersey,2nd Generation,.014123504,.61242527,.39903057,.87839288,.80932158,.64440912,.48726898,,,,60460.184
1995,Hispanic,New Jersey,2nd Generation,.27069667,.33722326,.11701611,.78427547,.66056955,.56943887,.64132553,,,,38523.582
1995,White,Illinois,2nd Generation,.033186022,.67242044,.37445596,.8995508,.90593529,.65284568,.45459187,,,,49064.547
1995,Hispanic,Illinois,2nd Generation,.22454858,.59008688,.23392177,.86959523,.77418649,.64903027,.59415573,,,,37961.715
1995,White,Florida,2nd Generation,.050042771,.67620456,.37756953,.8966043,.80873513,.74277854,.52370417,,,,48679.941
1995,Hispanic,Florida,2nd Generation,.26574963,.46544191,.14230841,.81728309,.69662601,.61773056,.64925915,,,,34503.453
1995,White,Texas,2nd Generation,.10261039,.68520081,.40177032,.85549957,.87056589,.65731245,.48886237,,,,42733.637
1995,Hispanic,Texas,2nd Generation,.29244226,.3677257,.10650434,.62191945,.68337768,.61655194,.63871455,,,,31654.545
1995,White,California,2nd Generation,.023459267,.77917677,.3684302,.88644803,.85683674,.651178,.40086401,,,,53021.363
1995,Hispanic,California,2nd Generation,.19944414,.45281804,.099146724,.77043957,.74070281,.61751831,.61970878,,,,36858.551
1995,White,New York,3rd Generation,.052716583,.60956937,.35351175,.86613917,.7922346,.66107458,.53201699,,,,47481.816
1995,Hispanic,New York,3rd Generation,.11677675,.3333472,.089268051,.75557923,.63955796,.51388323,.73759586,,,,31654.545
1995,White,New Jersey,3rd Generation,.038315009,.61001021,.36687317,.8880285,.82593691,.70801425,.53375185,,,,53252.441
1995,Hispanic,New Jersey,3rd Generation,.2442843,.31375855,.13320233,1,1,1,.55083752,,,,57690.41
1995,White,Illinois,3rd Generation,.053260732,.61911774,.326895,.90138918,.85978615,.69776601,.52596092,,,,45899.09
