year,wbhao,igen,lths,scol,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2004,White,1st Generation,.06404905,.67088675,.45624703,.81601989,.76014167,.77337354,.63450462,,,,46393.59
2004,Hispanic,1st Generation,.48318398,.22963199,.10381164,.51121503,.72929084,.70459926,.72976589,,,,25773.502
2004,White,2nd Generation,.028191598,.75147325,.446906,.89609921,.8192094,.67938036,.55578697,,,,55413.027
2004,Hispanic,2nd Generation,.16704014,.48518515,.18823572,.76568627,.78149533,.56170005,.60092795,,,,38660.25
2004,White,3rd Generation,.05402286,.62742412,.3316367,.87244523,.80668288,.70312876,.58633512,,,,46985.094
2004,Hispanic,3rd Generation,.15363568,.47379076,.15387458,.75331652,.77056712,.57833827,.58209163,,,,38660.25
2004,White,All,.05331992,.6350798,.3426854,.87088174,.8050766,.70533359,.58720034,.046718836,.045346327,.90793484,47680.977
2004,Hispanic,All,.34825125,.33377936,.13143918,.61469471,.74866074,.648637,.67181408,.58258516,.19587599,.22153884,30928.201
2005,White,1st Generation,.072928004,.64734423,.44615051,.81380492,.75716585,.76560032,.61133176,,,,45222.082
2005,Hispanic,1st Generation,.47854617,.2235395,.096621901,.52769041,.73713022,.68876976,.7120133,,,,26099.314
2005,White,2nd Generation,.031187641,.73321915,.43602321,.87713379,.8107959,.66680723,.54317218,,,,52913.852
2005,Hispanic,2nd Generation,.16647556,.49222073,.19310032,.77862549,.76511019,.58151615,.6217863,,,,37643.242
2005,White,3rd Generation,.054862969,.62494969,.3295075,.87347418,.81225818,.69869167,.58770394,,,,47207.137
2005,Hispanic,3rd Generation,.15570132,.47732103,.15086895,.74431485,.78324962,.5874939,.58780837,,,,37648.262
2005,White,All,.05463706,.6308791,.33975238,.87085706,.80962336,.70037282,.58679634,.046628028,.045120694,.90825129,47681.441
2005,Hispanic,All,.34609371,.33232537,.12767462,.62486148,.75273573,.64535058,.66701502,.58306742,.19974171,.21719086,31319.178
2006,White,1st Generation,.075352751,.68659586,.4839237,.81489068,.77580476,.76680917,.60990286,,,,48546.531
2006,Hispanic,1st Generation,.46828231,.22341087,.095978312,.51772267,.75064456,.70176369,.72401047,,,,25486.93
2006,White,2nd Generation,.031056371,.72814131,.4344967,.88687885,.79720396,.67542779,.55703282,,,,49822.094
2006,Hispanic,2nd Generation,.15521039,.51037866,.19615684,.75510538,.75570184,.55106539,.60316503,,,,38885.773
2006,White,3rd Generation,.052663557,.63222736,.33205411,.86912829,.81658095,.69241506,.58479249,,,,47332.867
2006,Hispanic,3rd Generation,.14803636,.46153519,.16168377,.74793911,.77379668,.59132326,.60760725,,,,37636.914
2006,White,All,.05273607,.63906467,.34368694,.86742538,.81382436,.6950829,.58469921,.046162967,.04511869,.90871835,47377.773
2006,Hispanic,All,.33833411,.33066851,.12969425,.61355752,.75658977,.64856344,.67539322,.58982748,.19625095,.21392159,30341.582
2007,White,1st Generation,.084596246,.67943281,.46710378,.80926627,.78436589,.75238669,.54889047,,,,48220.176
2007,Hispanic,1st Generation,.46268639,.22625344,.094497897,.48765871,.74322188,.71572208,.70345861,,,,25862.256
2007,White,2nd Generation,.038463216,.72236925,.43335822,.87013733,.81800562,.65692669,.49476832,,,,52900.066
2007,Hispanic,2nd Generation,.15101686,.52593881,.21232522,.76193696,.77193379,.56547374,.60651112,,,,40932.898
2007,White,3rd Generation,.053605743,.63231945,.34370285,.86563653,.81905699,.66407901,.50172967,,,,47022.281
2007,Hispanic,3rd Generation,.13332032,.47411865,.16703869,.74821383,.79792631,.54720742,.58653474,,,,36454.023
