,% Employed,% Married,% less than High School diploma,% with Children,% with College Degree,% with Health Insurance,Median Individual Real Income,igen,scol,state,wbhao,wbhao_igen,year
89,0.67707831,0.66961277,0.3183704,0.66019839,0.047497544,0.77282977,34842.156,3rd Generation,0.38803869,Illinois,Hispanic,Hispanic 3rd Generation,1995
87,1.0,1.0,0.24428429999999998,0.55083752,0.13320233,1.0,57690.41,3rd Generation,0.31375855,New Jersey,Hispanic,Hispanic 3rd Generation,1995
85,0.63955796,0.51388323,0.11677675,0.73759586,0.089268051,0.75557923,31654.545,3rd Generation,0.3333472,New York,Hispanic,Hispanic 3rd Generation,1995
93,0.77958369,0.72296548,0.27142349,0.64068288,0.08763035400000001,0.6995635,29280.455,3rd Generation,0.33383223,Texas,Hispanic,Hispanic 3rd Generation,1995
17,0.70388192,0.66658318,0.38877815,0.69374496,0.09947533900000001,0.62969816,28172.545,All,0.30217259999999996,National,Hispanic,Hispanic All,1995
107,0.67870378,0.65968049,0.45823771,0.74237335,0.069749407,0.58495182,26906.362999999998,All,0.25353125,California,Hispanic,Hispanic All,1995
103,0.75653589,0.6696951999999999,0.28235954,0.59725934,0.1559661,0.67920405,28014.272999999997,All,0.44398552,Florida,Hispanic,Hispanic All,1995
101,0.73375642,0.74173629,0.42280173,0.66489267,0.099350013,0.77085209,31967.926,All,0.3167983,Illinois,Hispanic,Hispanic All,1995
99,0.73623616,0.63363022,0.28242135,0.65204161,0.11470962,0.7032665,32699.145,All,0.35920918,New Jersey,Hispanic,Hispanic All,1995
97,0.57513767,0.52485424,0.33701774,0.66208744,0.10251571,0.68202192,28805.637000000002,All,0.30487087,New York,Hispanic,Hispanic All,1995
105,0.72474688,0.71945995,0.40201545,0.68432176,0.09905728,0.58710527,26843.055,All,0.29456618,Texas,Hispanic,Hispanic All,1995
16,0.81968403,0.70220542,0.07405173799999999,0.5296846,0.29763931,0.86783499,41893.207,All,0.58285302,National,White,White All,1995
106,0.80146599,0.63496244,0.037600628999999997,0.48487309,0.34840435,0.84336847,49064.547,All,0.71330303,California,White,White All,1995
102,0.81512713,0.67176497,0.07050477,0.49303862,0.29653099,0.82671237,41625.727,All,0.60687929,Florida,White,White All,1995
100,0.85584319,0.69977432,0.05362533,0.52215338,0.33420351,0.90099388,46043.117,All,0.62406212,Illinois,White,White All,1995
98,0.82000333,0.70208883,0.04774243,0.53098297,0.36973599,0.87320125,52462.66,All,0.59980094,New Jersey,White,White All,1995
96,0.78198296,0.66648442,0.054446712,0.51880884,0.36023647,0.85638577,47553.039000000004,All,0.61217827,New York,White,White All,1995
104,0.83812737,0.74790579,0.052475873,0.53610682,0.33357161,0.85010475,44316.363,All,0.65504014,Texas,White,White All,1995
19,0.67932391,0.71393323,0.55844384,0.73113978,0.076998711,0.53289306,23251.971,1st Generation,0.20492493,National,Hispanic,Hispanic 1st Generation,1996
119,0.67357731,0.72585553,0.64687961,0.79464746,0.049340811,0.52511483,23182.424,1st Generation,0.144421,California,Hispanic,Hispanic 1st Generation,1996
115,0.71928179,0.72529966,0.24959618,0.66490573,0.18532911,0.65485442,26273.414,1st Generation,0.44977573,Florida,Hispanic,Hispanic 1st Generation,1996
113,0.71581298,0.72091877,0.6400103,0.67290282,0.029368000000000002,0.70420873,24109.721,1st Generation,0.12272870000000001,Illinois,Hispanic,Hispanic 1st Generation,1996
111,0.70594847,0.69402546,0.23090325,0.77789944,0.1924483,0.66546774,32146.292999999998,1st Generation,0.42982376,New Jersey,Hispanic,Hispanic 1st Generation,1996
109,0.62876439,0.52798384,0.44389656,0.61533356,0.08957196,0.52450663,24109.721,1st Generation,0.22037609,New York,Hispanic,Hispanic 1st Generation,1996
117,0.70288515,0.79341877,0.66669554,0.7294835999999999,0.055586439,0.41655496,21636.928,1st Generation,0.16454904,Texas,Hispanic,Hispanic 1st Generation,1996
21,0.72849202,0.55876338,0.25255224,0.6152004,0.13641343,0.75611544,34161.621,2nd Generation,0.40714625,National,Hispanic,Hispanic 2nd Generation,1996
131,0.80282891,0.57452428,0.15199575,0.54489261,0.16473067,0.74688363,39332.844,2nd Generation,0.49759519,California,Hispanic,Hispanic 2nd Generation,1996
127,0.74802434,0.5999161,0.20895608,0.65668219,0.16118003,0.76776141,32455.392999999996,2nd Generation,0.46391594,Florida,Hispanic,Hispanic 2nd Generation,1996
125,0.81875247,0.44913155,0.23511952,0.54529244,0.19757704,0.78495902,37246.426,2nd Generation,0.48192879999999994,Illinois,Hispanic,Hispanic 2nd Generation,1996
123,0.63224506,0.54537344,0.37083724,0.6782555,0.03150918,0.83302903,37759.531,2nd Generation,0.31306949,New Jersey,Hispanic,Hispanic 2nd Generation,1996
121,0.62240338,0.42655104,0.29131958,0.5187071,0.10831784,0.8285163000000001,38019.176,2nd Generation,0.33827299,New York,Hispanic,Hispanic 2nd Generation,1996
129,0.70415807,0.64982784,0.30008835,0.65971529,0.085043088,0.5930137,23426.611,2nd Generation,0.32891595,Texas,Hispanic,Hispanic 2nd Generation,1996
23,0.76505971,0.63571382,0.21459629999999996,0.64612019,0.10309107,0.75170571,32769.129,3rd Generation,0.38150489,National,Hispanic,Hispanic 3rd Generation,1996
143,0.74491233,0.62959355,0.16691715,0.62023085,0.13237999,0.77946413,38946.473,3rd Generation,0.42859742,California,Hispanic,Hispanic 3rd Generation,1996
139,0.88062739,0.73629588,0.31631577,0.72175336,0.18454768,0.75402766,41728.363,3rd Generation,0.57885414,Florida,Hispanic,Hispanic 3rd Generation,1996
137,0.89825702,0.55193353,0.048148248,0.44823971,0.055872597,0.94397342,44819.352,3rd Generation,0.40449482,Illinois,Hispanic,Hispanic 3rd Generation,1996
135,0.67070735,0.79933327,0.0,0.84595305,0.33902928,1.0,37096.516,3rd Generation,0.47758746,New Jersey,Hispanic,Hispanic 3rd Generation,1996
133,0.70322061,0.48231715,0.14667599,0.83849657,0.16150342,0.84858698,46364.848,3rd Generation,0.38951629,New York,Hispanic,Hispanic 3rd Generation,1996
141,0.7762658,0.66810441,0.28839386,0.69160539,0.061808385,0.6679939,26837.52,3rd Generation,0.31915572,Texas,Hispanic,Hispanic 3rd Generation,1996
