year,wbhao,state,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
1996,White,New York,3rd Generation,.049105655,.33960932,.89423186,.79113239,.66372019,.52235001,,,,39410.121
1996,Hispanic,New York,3rd Generation,.14667599,.16150342,.84858698,.70322061,.48231715,.83849657,,,,37478.25
1996,White,New Jersey,3rd Generation,.035481811,.3720763,.86460423,.83356947,.69730681,.53541368,,,,46367.938
1996,Hispanic,New Jersey,3rd Generation,0,.33902928,1,.67070735,.79933327,.84595305,,,,17020.535
1996,White,Illinois,3rd Generation,.056045525,.32971197,.90755129,.84694159,.67381537,.50144005,,,,42893.664
1996,Hispanic,Illinois,3rd Generation,.048148248,.055872597,.94397342,.89825702,.55193353,.44823971,,,,38637.371
1996,White,Florida,3rd Generation,.076743275,.26639187,.80820459,.81733501,.64850926,.49741611,,,,34000.887
1996,Hispanic,Florida,3rd Generation,.31631577,.18454768,.75402766,.88062739,.73629588,.72175336,,,,38006.809
1996,White,Texas,3rd Generation,.065587461,.31952411,.84053558,.83465916,.70973545,.52319956,,,,40184.414
1996,Hispanic,Texas,3rd Generation,.28839386,.061808385,.6679939,.7762658,.66810441,.69160539,,,,22911.961
1996,White,California,3rd Generation,.039591942,.34252572,.8425135,.81042808,.62871307,.48220649,,,,44819.352
1996,Hispanic,California,3rd Generation,.16691715,.13237999,.77946413,.74491233,.62959355,.62023085,,,,34830.82
1996,White,New York,All,.056488339,.35060462,.88281518,.78475046,.66845286,.50567877,.10383305,.11559845,.78056848,40182.867
1996,Hispanic,New York,All,.36931738,.099822782,.66486889,.62832302,.48307076,.58074039,.54032475,.42895621,.030719027,18545.939
1996,White,New Jersey,All,.04694603,.36565855,.85405338,.82314038,.69973832,.53689808,.086433105,.10472114,.80884576,45247.453
1996,Hispanic,New Jersey,All,.26981881,.14318879,.73518831,.6795159,.64738834,.74654186,.62161815,.34054065,.037841193,23205.605
1996,White,Illinois,All,.057990219,.33199602,.89784181,.84310496,.67649704,.49671715,.053786382,.068603694,.87760991,42026.645
1996,Hispanic,Illinois,All,.48416343,.068046279,.74975401,.75923413,.64343297,.61925417,.66995901,.21121901,.11882199,23182.424
1996,White,Florida,All,.07328663,.28021726,.815238,.81445098,.64171565,.49045882,.051080678,.078310475,.87060887,34000.887
1996,Hispanic,Florida,All,.23957482,.17763241,.69495529,.73535413,.6859864,.66474551,.63959193,.31732243,.043085653,23182.424
1996,White,Texas,All,.065905534,.32669947,.84368855,.83309823,.70997363,.52168554,.023145676,.028439892,.94841444,40182.867
1996,Hispanic,Texas,All,.43776354,.063923672,.55559897,.73366231,.71326107,.70010918,.38880983,.19515799,.4160322,18545.939
1996,White,California,All,.044038519,.3639546,.83970684,.80098039,.63686299,.48930401,.09332329,.075520389,.83115631,43595.32
1996,Hispanic,California,All,.49429804,.079846285,.60038745,.70393938,.68806887,.729554,.68638593,.13796361,.17565046,20864.182
1997,White,New York,1st Generation,.089224063,.35204151,.7769962,.71357292,.7301656,.55535561,,,,30095.074
1997,Hispanic,New York,1st Generation,.40357822,.094961107,.54297674,.6810531,.55065489,.61361188,,,,16552.291
1997,White,New Jersey,1st Generation,.11379622,.37495756,.76074374,.79198897,.66120839,.49642503,,,,36425.57
1997,Hispanic,New Jersey,1st Generation,.2912654,.19826581,.58930832,.80950165,.6967538,.69970381,,,,23474.158
1997,White,Illinois,1st Generation,.075759321,.3516371,.81663728,.77102047,.71030498,.47424096,,,,31843.598
1997,Hispanic,Illinois,1st Generation,.56148672,.037283093,.66664857,.71848232,.7464903,.72174168,,,,24076.059
1997,White,Florida,1st Generation,.059404422,.41336679,.75194627,.79197913,.68814451,.47418576,,,,30567.566
1997,Hispanic,Florida,1st Generation,.24039063,.22538744,.69019938,.78091645,.72657084,.65404499,,,,23022.73
1997,White,Texas,1st Generation,.069860749,.42293617,.86792415,.72843271,.73347473,.50683236,,,,33179.82
1997,Hispanic,Texas,1st Generation,.61144483,.077192239,.43732765,.67553586,.77820796,.66394287,,,,17605.617
1997,White,California,1st Generation,.089155428,.44123164,.76096201,.71454257,.69466829,.52981299,,,,30095.074
1997,Hispanic,California,1st Generation,.60089046,.054195739,.5248673,.71181154,.71761364,.78032988,,,,17063.906
1997,White,New York,2nd Generation,.051847436,.41225335,.89427876,.81740123,.66011989,.4680343,,,,48191.242
1997,Hispanic,New York,2nd Generation,.30682015,.14278159,.80942333,.69466406,.52481437,.55765969,,,,27085.566
1997,White,New Jersey,2nd Generation,.016575126,.38178053,.8984673,.84731412,.64766216,.39835489,,,,51312.102
1997,Hispanic,New Jersey,2nd Generation,.32294354,.038471293,.79984248,.63201052,.55277443,.65273446,,,,27109.643
1997,White,Illinois,2nd Generation,.041459989,.38218817,.89605385,.8481186,.65919572,.40500641,,,,48754.02
1997,Hispanic,Illinois,2nd Generation,.30456969,.14741977,.80819309,.8460272,.54184413,.60845113,,,,40634.367
1997,White,Florida,2nd Generation,.048365779,.27292228,.76292086,.79156452,.62430912,.48274848,,,,31599.826
1997,Hispanic,Florida,2nd Generation,.20249376,.17187801,.74303877,.8221243,.61250883,.58580953,,,,23474.158
1997,White,Texas,2nd Generation,.0221093,.4847331,.80934113,.81916893,.66680419,.49165109,,,,40778.824
1997,Hispanic,Texas,2nd Generation,.26001078,.078659289,.64524007,.74530226,.69916332,.70698446,,,,22571.305
1997,White,California,2nd Generation,.025309065,.40732703,.89594221,.84030288,.58646184,.37459224,,,,42133.102
1997,Hispanic,California,2nd Generation,.11440428,.1774395,.75849217,.83710533,.60173434,.59767675,,,,33142.199
1997,White,New York,3rd Generation,.052518636,.34697863,.88674068,.80676812,.67486721,.52653402,,,,39123.594
1997,Hispanic,New York,3rd Generation,.057769898,.42199889,.81785226,.87933499,.52582175,.57092738,,,,39979.801
1997,White,New Jersey,3rd Generation,.034464423,.36554968,.87767357,.82696205,.6997146,.48108226,,,,46647.363
1997,Hispanic,New Jersey,3rd Generation,.17936614,.32886699,.75669348,.71514684,.76449966,.81353486,,,,29875.379
1997,White,Illinois,3rd Generation,.056914262,.32978547,.91708654,.83326381,.67823672,.53325009,,,,41236.27
1997,Hispanic,Illinois,3rd Generation,.1081792,.2216588,.81685096,.85570079,.67680669,.64438373,,,,33340.828
1997,White,Florida,3rd Generation,.085097067,.26060769,.80872267,.81433421,.62594473,.49050793,,,,34910.285
1997,Hispanic,Florida,3rd Generation,.22258084,.22409156,.86955458,.78122163,.83703911,.57165003,,,,38130.457
1997,White,Texas,3rd Generation,.066335604,.31110957,.84326893,.83958137,.70402622,.52044499,,,,40638.883
1997,Hispanic,Texas,3rd Generation,.23232463,.11993013,.66718453,.75992292,.69966084,.66923463,,,,22119.879
1997,White,California,3rd Generation,.036431707,.35227236,.87078351,.80630201,.62191057,.49133778,,,,44166.023
1997,Hispanic,California,3rd Generation,.17024165,.14128059,.84334558,.73889107,.55200517,.56005478,,,,31619.389
1997,White,New York,All,.056383267,.35534799,.87584901,.7980262,.67904276,.52261877,.10747987,.11988094,.77263916,39123.594
1997,Hispanic,New York,All,.35598168,.12357706,.65195101,.69262916,.54014587,.59121841,.5920406,.37534276,.032616671,19561.797
1997,White,New Jersey,All,.038715683,.3678073,.87087494,.82627892,.69184816,.47433087,.075133577,.095544443,.82932198,45925.082
1997,Hispanic,New Jersey,All,.29853901,.13683279,.68960738,.72761106,.63855344,.68594891,.51190877,.43106118,.057030026,23630.652
1997,White,Illinois,All,.057019036,.33433148,.9100219,.83064079,.67887163,.52180851,.05715673,.062917851,.87992543,41708.762
1997,Hispanic,Illinois,All,.44368801,.08644712,.71819746,.76518381,.69174081,.68623132,.64401531,.22186309,.13412161,28590.32
1997,White,Florida,All,.080607019,.27115086,.80157268,.81114781,.6297164,.48887634,.062699258,.07838387,.85891688,34609.336
