,year,female,wbhao,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
110,2000,0,Hispanic,3rd Generation,0.14670455,0.47993222,0.14871466,0.79336482,0.86155552,0.6493634,0.60314918,42973.602,Hispanic 3rd Generation
111,2000,1,Hispanic,3rd Generation,0.17008045,0.43007693,0.13574922,0.80066752,0.703471,0.59984392,0.68586636,27046.332000000002,Hispanic 3rd Generation
114,2000,0,Hispanic,All,0.36015061,0.31813052,0.11864116,0.62177598,0.88465905,0.67410344,0.65759277,33724.316,Hispanic All
115,2000,1,Hispanic,All,0.34717885,0.33449507,0.12721949999999999,0.69311881,0.62541223,0.6427418,0.73717999,23678.17,Hispanic All
112,2000,0,White,All,0.065382175,0.6043460999999999,0.33065313,0.87641031,0.89754713,0.6717943000000001,0.48168898,57228.883,White All
113,2000,1,White,All,0.05684828,0.61487097,0.31232929,0.90121144,0.76998425,0.69551462,0.52782816,36285.656,White All
118,2001,0,Hispanic,1st Generation,0.50985932,0.21184695,0.08859142699999999,0.54859072,0.89120191,0.72447443,0.71037102,29851.612999999998,Hispanic 1st Generation
119,2001,1,Hispanic,1st Generation,0.49259582,0.22717848,0.097336277,0.61074078,0.56948727,0.7016173000000001,0.75518721,20038.703,Hispanic 1st Generation
122,2001,0,Hispanic,2nd Generation,0.21358056,0.45601028,0.17839345,0.75701886,0.81719708,0.5707069,0.58572882,41309.184,Hispanic 2nd Generation
123,2001,1,Hispanic,2nd Generation,0.2227736,0.44593319,0.15339701,0.79673344,0.69976377,0.53508162,0.67143637,31489.391,Hispanic 2nd Generation
126,2001,0,Hispanic,3rd Generation,0.16900468,0.44743416,0.1538143,0.80234593,0.87852198,0.64612138,0.61021286,41329.824,Hispanic 3rd Generation
127,2001,1,Hispanic,3rd Generation,0.15808029,0.43441764,0.13973722,0.82215154,0.73137569,0.60600376,0.66579413,28687.275,Hispanic 3rd Generation
130,2001,0,Hispanic,All,0.38468874,0.30569679,0.11870999,0.63951457,0.87481385,0.67974538,0.66659003,34407.113,Hispanic All
131,2001,1,Hispanic,All,0.35082504,0.32645050000000003,0.12015408,0.70376885,0.63802975,0.64126611,0.71471888,24773.123,Hispanic All
128,2001,0,White,All,0.062365294,0.61424536,0.33459306,0.88907427,0.8939867,0.67439491,0.47711620000000005,57803.953,White All
129,2001,1,White,All,0.055015537999999996,0.62876052,0.32363018,0.90117943,0.7605195,0.69143832,0.52267116,37170.695,White All
134,2002,0,Hispanic,1st Generation,0.50468767,0.22128518,0.099043034,0.50553912,0.86928028,0.70362455,0.67164898,29451.75,Hispanic 1st Generation
135,2002,1,Hispanic,1st Generation,0.48040229,0.23836373,0.10332339,0.54513389,0.57033324,0.69085705,0.76788008,20080.738,Hispanic 1st Generation
138,2002,0,Hispanic,2nd Generation,0.20390369,0.44312471,0.15350360000000002,0.73732364,0.82818127,0.56380677,0.56254578,42223.098,Hispanic 2nd Generation
139,2002,1,Hispanic,2nd Generation,0.17548826,0.47846642,0.17405871,0.7700215,0.69144541,0.56043571,0.68431622,28380.777000000002,Hispanic 2nd Generation
142,2002,0,Hispanic,3rd Generation,0.18019278,0.45010111,0.16655546,0.75147641,0.83008474,0.62180775,0.5679757,44177.625,Hispanic 3rd Generation
143,2002,1,Hispanic,3rd Generation,0.16919681,0.43257007,0.15057726,0.79604149,0.72687429,0.60393274,0.65586036,32865.477,Hispanic 3rd Generation
146,2002,0,Hispanic,All,0.38558328,0.30698824,0.12239225,0.59648216,0.8540535,0.66231775,0.63130403,33467.898,Hispanic All
147,2002,1,Hispanic,All,0.34201381,0.3353501,0.12954813,0.65224129,0.63306373,0.64255166,0.72365236,25060.762000000002,Hispanic All
144,2002,0,White,All,0.062941082,0.6134178000000001,0.34129021,0.8805086,0.88693732,0.71115965,0.56509602,58661.191,White All
145,2002,1,White,All,0.050156925,0.63810551,0.33175707,0.89543331,0.74809128,0.70563084,0.61071557,37149.367,White All
150,2003,0,Hispanic,1st Generation,0.50442058,0.21686003,0.10326675,0.49023214,0.86855358,0.69698465,0.67851722,28983.73,Hispanic 1st Generation
151,2003,1,Hispanic,1st Generation,0.49506217,0.22347812,0.10647827,0.54795504,0.54412901,0.70700753,0.77215785,20552.1,Hispanic 1st Generation
154,2003,0,Hispanic,2nd Generation,0.20297164,0.44415331,0.16731854,0.72994602,0.8291930000000001,0.54773957,0.53439569,43475.598,Hispanic 2nd Generation
155,2003,1,Hispanic,2nd Generation,0.18703642,0.45679078,0.18905084,0.78756499,0.69995123,0.54406947,0.71410948,32936.059,Hispanic 2nd Generation
158,2003,0,Hispanic,3rd Generation,0.1530655,0.43672892,0.14028601,0.75005311,0.83926153,0.59918791,0.57187957,42158.152,Hispanic 3rd Generation
159,2003,1,Hispanic,3rd Generation,0.16051331,0.46891198,0.14563377,0.78705573,0.70786226,0.60066634,0.64675277,32936.059,Hispanic 3rd Generation
162,2003,0,Hispanic,All,0.37737677,0.30347484,0.12259517,0.58727032,0.85534328,0.64959776,0.63027263,33001.93,Hispanic All
163,2003,1,Hispanic,All,0.3545008,0.32809979,0.13245419,0.65239894,0.61395985,0.64901447,0.73122352,26348.846,Hispanic All
160,2003,0,White,All,0.06291975799999999,0.61921942,0.34587958,0.86809963,0.88018006,0.71011084,0.56654298,58033.332,White All
161,2003,1,White,All,0.04681446400000001,0.64248151,0.33603573,0.88945818,0.74544126,0.70634145,0.60598528,36905.512,White All
166,2004,0,Hispanic,1st Generation,0.49059898,0.22212626,0.099208295,0.49024817,0.88699627,0.7054229999999999,0.68536532,30154.996,Hispanic 1st Generation
167,2004,1,Hispanic,1st Generation,0.47418284,0.23874328,0.10939968,0.53666693,0.5378505,0.70359927,0.78366429,20618.801,Hispanic 1st Generation
170,2004,0,Hispanic,2nd Generation,0.16808453,0.46652237,0.18417586,0.72941232,0.83640331,0.58354717,0.53305745,43879.387,Hispanic 2nd Generation
171,2004,1,Hispanic,2nd Generation,0.16609335,0.50210381,0.19191614,0.79857028,0.73171884,0.54189461,0.66245556,33537.77,Hispanic 2nd Generation
174,2004,0,Hispanic,3rd Generation,0.15975785,0.47860274,0.15464646,0.70366335,0.83226329,0.58997524,0.53594553,45103.625,Hispanic 3rd Generation
175,2004,1,Hispanic,3rd Generation,0.14780445,0.46920744,0.1531394,0.80061001,0.7118029,0.56725436,0.62604469,31314.805,Hispanic 3rd Generation
