year,female,wbhao,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2002,0,White,1st Generation,.075026833,.47645661,.80831647,.88514334,.76093203,.58796817,,,,53615.57
2002,1,White,1st Generation,.071324393,.40352252,.83040524,.63766938,.77484846,.6150955,,,,21553.326
2002,0,Hispanic,1st Generation,.50468767,.099043034,.50553912,.86928028,.70362455,.67164898,,,,26809.125
2002,1,Hispanic,1st Generation,.48040229,.10332339,.54513389,.57033324,.69085705,.76788008,,,,12048.443
2002,0,White,2nd Generation,.037584111,.42511681,.90268475,.89030188,.67994815,.50696474,,,,63211.488
2002,1,White,2nd Generation,.027321791,.44147801,.90503949,.75936097,.66808707,.57276738,,,,33467.898
2002,0,Hispanic,2nd Generation,.20390369,.1535036,.73732364,.82818127,.56380677,.56254578,,,,37805.336
2002,1,Hispanic,2nd Generation,.17548826,.17405871,.7700215,.69144541,.56043571,.68431622,,,,20327.063
2002,0,White,3rd Generation,.063730046,.32983094,.88293314,.88684225,.71036702,.5671491,,,,53682.508
2002,1,White,3rd Generation,.050346244,.32229879,.89811939,.75292456,.7042461,.61254787,,,,29348.668
2002,0,Hispanic,3rd Generation,.18019278,.16655546,.75147641,.83008474,.62180775,.5679757,,,,40161.477
2002,1,Hispanic,3rd Generation,.16919681,.15057726,.79604149,.72687429,.60393274,.65586036,,,,25469.07
2002,0,White,All,.062941082,.34129021,.8805086,.88693732,.71115965,.56509602,.045709174,.049924832,.90436602,53950.25
2002,1,White,All,.050156925,.33175707,.89543331,.74809128,.70563084,.61071557,.044667341,.048920017,.90641266,28948.393
2002,0,Hispanic,All,.38558328,.12239225,.59648216,.8540535,.66231775,.63130403,.620076,.17624852,.20367546,30790.465
2002,1,Hispanic,All,.34201381,.12954813,.65224129,.63306373,.64255166,.72365236,.55100316,.21327055,.2357263,16064.591
2003,0,White,1st Generation,.066008084,.45356691,.8028084,.87370473,.77104181,.60147727,,,,52156.223
2003,1,White,1st Generation,.051956855,.43000519,.81741381,.63905978,.77979779,.6223672,,,,21079.076
2003,0,Hispanic,1st Generation,.50442058,.10326675,.49023214,.86855358,.69698465,.67851722,,,,27402.801
2003,1,Hispanic,1st Generation,.49506217,.10647827,.54795504,.54412901,.70700753,.77215785,,,,10539.538
2003,0,White,2nd Generation,.030140564,.44574144,.87913412,.88340271,.67444289,.4998762,,,,61919.789
2003,1,White,2nd Generation,.024916554,.44716573,.90801847,.77586251,.69964987,.59285676,,,,33265.418
2003,0,Hispanic,2nd Generation,.20297164,.16731854,.72994602,.829193,.54773957,.53439569,,,,39523.27
2003,1,Hispanic,2nd Generation,.18703642,.18905084,.78756499,.69995123,.54406947,.71410948,,,,24662.52
2003,0,White,3rd Generation,.06444671,.3352429,.87086958,.8803454,.70882994,.56818408,,,,52895.309
2003,1,White,3rd Generation,.047693048,.32558882,.89208925,.74917006,.7030248,.60584879,,,,28990.318
2003,0,Hispanic,3rd Generation,.1530655,.14028601,.75005311,.83926153,.59918791,.57187957,,,,39523.27
2003,1,Hispanic,3rd Generation,.16051331,.14563377,.78705573,.70786226,.60066634,.64675277,,,,25041.943
2003,0,White,All,.062919758,.34587958,.86809963,.88018006,.71011084,.56654298,.046358291,.046619672,.90702206,53016.512
2003,1,White,All,.046814464,.33603573,.88945818,.74544126,.70634145,.60598528,.045269448,.047048673,.90768188,28983.73
