,year,wbhao,centcity,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
118,2001,Hispanic,0,1st Generation,0.4877798,0.22744268,0.094009571,0.60486293,0.74545342,0.73471236,0.74104416,27458.254,Hispanic 1st Generation
119,2001,Hispanic,1,1st Generation,0.52273446,0.20639481,0.09066550400000001,0.53684801,0.73502475,0.68267947,0.71666855,25048.379,Hispanic 1st Generation
122,2001,Hispanic,0,2nd Generation,0.19391766,0.47971982,0.17083743,0.76063842,0.76471704,0.57922471,0.65174872,35784.777,Hispanic 2nd Generation
123,2001,Hispanic,1,2nd Generation,0.26083675,0.40051299,0.15453924,0.8092981,0.73425049,0.5036366,0.59873599,35783.398,Hispanic 2nd Generation
126,2001,Hispanic,0,3rd Generation,0.16525866,0.41933122,0.12543131,0.80608559,0.80401152,0.6511243,0.67158455,34407.113,Hispanic 3rd Generation
127,2001,Hispanic,1,3rd Generation,0.15828648,0.48644847,0.1916049,0.82846296,0.78684473,0.5656661999999999,0.57205421,35783.398,Hispanic 3rd Generation
130,2001,Hispanic,0,All,0.34747493,0.32688090000000003,0.11761344,0.68671787,0.76390082,0.68199855,0.70546669,28906.105,Hispanic All
131,2001,Hispanic,1,All,0.40166938,0.29799569,0.12246016,0.6463232,0.74462038,0.62477863,0.66582155,28901.977000000003,Hispanic All
128,2001,White,0,All,0.059569307,0.60276628,0.30749446,0.897596,0.82740146,0.70916176,0.52144617,46932.68,White All
129,2001,White,1,All,0.054536466,0.70674521,0.42681292,0.88421994,0.82347,0.56438559,0.40329173,51102.824,White All
134,2002,Hispanic,0,1st Generation,0.48042813,0.24226294,0.10140276,0.54297036,0.74151552,0.72050935,0.7162714,26774.318,Hispanic 1st Generation
135,2002,Hispanic,1,1st Generation,0.51182693,0.21057796,0.10056615,0.49697870000000005,0.70913285,0.66435361,0.71812719,24969.729,Hispanic 1st Generation
138,2002,Hispanic,0,2nd Generation,0.1675116,0.49776211,0.18121279999999998,0.75568539,0.78396934,0.61326158,0.65139186,36975.332,Hispanic 2nd Generation
139,2002,Hispanic,1,2nd Generation,0.21924621,0.41010457,0.14034756,0.75462973,0.7073828000000001,0.48568118,0.59656906,33580.348,Hispanic 2nd Generation
142,2002,Hispanic,0,3rd Generation,0.15955904,0.43235883,0.14126189,0.77595866,0.77711743,0.64103675,0.62966424,37484.043,Hispanic 3rd Generation
143,2002,Hispanic,1,3rd Generation,0.20609334,0.45865172,0.19405977,0.77429187,0.76918095,0.54989278,0.58399874,40161.477,Hispanic 3rd Generation
146,2002,Hispanic,0,All,0.34242517,0.33733532,0.12631954,0.64042342,0.75829619,0.68068075,0.68274063,29557.507999999998,Hispanic All
147,2002,Hispanic,1,All,0.39758176,0.29560396,0.12543568,0.59903747,0.71957499,0.60757613,0.6693843,28113.033,Hispanic All
144,2002,White,0,All,0.057965729,0.60981643,0.31749448,0.89008141,0.81710166,0.73153198,0.6091072,46871.121,White All
145,2002,White,1,All,0.048917022000000004,0.70545238,0.42959639,0.87837064,0.81231296,0.59434056,0.48603091,50201.844000000005,White All
150,2003,Hispanic,0,1st Generation,0.48260707,0.2367786,0.11229727,0.54121286,0.73241735,0.71765786,0.7167148,27402.801,Hispanic 1st Generation
151,2003,Hispanic,1,1st Generation,0.52526504,0.19567038,0.093896054,0.48162025,0.70106667,0.67852038,0.72843367,25031.404,Hispanic 1st Generation
154,2003,Hispanic,0,2nd Generation,0.16140120000000002,0.48520833,0.1894553,0.77325618,0.77281713,0.60003018,0.64646697,39556.203,Hispanic 2nd Generation
155,2003,Hispanic,1,2nd Generation,0.24618834,0.39749762,0.16128889999999999,0.73750937,0.74980515,0.46297306,0.59322089,34780.477,Hispanic 2nd Generation
158,2003,Hispanic,0,3rd Generation,0.15517911,0.44844297,0.13016801,0.75994641,0.77584112,0.62503237,0.61228216,36888.383,Hispanic 3rd Generation
159,2003,Hispanic,1,3rd Generation,0.16049087,0.46333295,0.17033322,0.78823495,0.76376295,0.54665631,0.60584092,37018.812999999995,Hispanic 3rd Generation
162,2003,Hispanic,0,All,0.3420637,0.33545159999999996,0.13139904,0.63844931,0.75063479,0.67276925,0.67806178,32936.059,Hispanic All
163,2003,Hispanic,1,All,0.40479091,0.28348812,0.12090182,0.5870955,0.72192585,0.61231798,0.67976218,28983.73,Hispanic All
160,2003,White,0,All,0.057111620999999994,0.61572558,0.32291868,0.88077158,0.81152749,0.73053575,0.60868615,46163.18,White All
161,2003,White,1,All,0.042693675,0.70795667,0.43074849,0.8700313000000001,0.81145442,0.59625679,0.47622812,50065.441,White All
166,2004,Hispanic,0,1st Generation,0.46653414,0.25169578,0.11511399,0.52084213,0.74128622,0.72658223,0.73416531,28350.852000000003,Hispanic 1st Generation
167,2004,Hispanic,1,1st Generation,0.5080409,0.19669241,0.08693808300000001,0.4968425,0.71138269,0.67178035,0.72319794,24062.141,Hispanic 1st Generation
170,2004,Hispanic,0,2nd Generation,0.14057761,0.52046245,0.19483769,0.77904612,0.81263018,0.61486149,0.60984236,38764.633,Hispanic 2nd Generation
171,2004,Hispanic,1,2nd Generation,0.20779793,0.43085074,0.17806729999999998,0.74510938,0.73354119,0.47982034,0.5871979,38660.25,Hispanic 2nd Generation
174,2004,Hispanic,0,3rd Generation,0.15148471,0.46829554,0.14203601,0.75138664,0.78263319,0.61885232,0.60043192,38660.25,Hispanic 3rd Generation
175,2004,Hispanic,1,3rd Generation,0.15810835,0.48521739,0.17849147,0.75732952,0.74547708,0.49409419,0.54395521,38660.25,Hispanic 3rd Generation
178,2004,Hispanic,0,All,0.32746172,0.35590416,0.13697846,0.62639773,0.76503438,0.67897671,0.67783284,32216.877,Hispanic All
179,2004,Hispanic,1,All,0.38177812,0.2980991,0.12250606,0.59582144,0.72225535,0.59970874,0.66210771,28350.852000000003,Hispanic All
176,2004,White,0,All,0.055740810999999994,0.61750972,0.32122809,0.87345403,0.80665988,0.7290416999999999,0.60872465,46778.905999999995,White All
177,2004,White,1,All,0.041442376,0.72128314,0.44796062,0.85826129,0.7973085,0.58901525,0.48159623,50612.710999999996,White All
182,2005,Hispanic,0,1st Generation,0.45922774,0.24062094,0.10413681,0.53498948,0.7407706999999999,0.71809292,0.71622914,27605.045,Hispanic 1st Generation
183,2005,Hispanic,1,1st Generation,0.50450963,0.2005825,0.08652208,0.51788074,0.73223758,0.6493603,0.70634723,25095.496,Hispanic 1st Generation
186,2005,Hispanic,0,2nd Generation,0.15048806,0.52615654,0.22081114,0.79942018,0.80901676,0.63524139,0.63591427,37663.32,Hispanic 2nd Generation
187,2005,Hispanic,1,2nd Generation,0.1896286,0.44307497,0.15296958,0.74851066,0.70152485,0.50371134,0.60132617,37482.633,Hispanic 2nd Generation
190,2005,Hispanic,0,3rd Generation,0.16257085,0.46043095,0.13501749999999998,0.73846734,0.78080148,0.6386229999999999,0.64031553,37644.496,Hispanic 3rd Generation
191,2005,Hispanic,1,3rd Generation,0.14308672,0.50833654,0.17997722,0.75505275,0.78774518,0.49360472,0.49138865,37649.516,Hispanic 3rd Generation
194,2005,Hispanic,0,All,0.32738575,0.34962046,0.13470221,0.63591224,0.7638576,0.68274558,0.68223035,31369.369,Hispanic All
195,2005,Hispanic,1,All,0.37336096,0.30711743,0.11743179,0.60875469,0.7365253,0.59084648,0.64483839,28859.82,Hispanic All
192,2005,White,0,All,0.056841794,0.61214042,0.31689759999999995,0.87508273,0.81287199,0.72497314,0.6096459,46552.145,White All
193,2005,White,1,All,0.04484953,0.71406603,0.44121206,0.85209793,0.7952016,0.59116435,0.48536018,50190.992,White All
198,2006,Hispanic,0,1st Generation,0.44093114,0.23595226,0.10161763,0.52771044,0.75500071,0.72810364,0.7393526999999999,26700.592,Hispanic 1st Generation
199,2006,Hispanic,1,1st Generation,0.50315404,0.20742106,0.08878838300000001,0.50498861,0.7450906,0.66818124,0.70444959,24273.266,Hispanic 1st Generation
202,2006,Hispanic,0,2nd Generation,0.15815562,0.52776527,0.21603134,0.76416379,0.7873252,0.60805273,0.62840861,40208.664,Hispanic 2nd Generation
203,2006,Hispanic,1,2nd Generation,0.15114059999999999,0.48635328,0.16869372,0.74258828,0.71200389,0.47231865,0.56828272,37623.562999999995,Hispanic 2nd Generation
206,2006,Hispanic,0,3rd Generation,0.15387796,0.44880494,0.15105584,0.73448336,0.77600294,0.63166249,0.64373189,37016.73,Hispanic 3rd Generation
207,2006,Hispanic,1,3rd Generation,0.13850610000000002,0.48230395,0.1790227,0.7698915,0.77019733,0.5255118000000001,0.5486715999999999,38837.227,Hispanic 3rd Generation
210,2006,Hispanic,0,All,0.31916049,0.34245184,0.13555543,0.62188965,0.76620579,0.68225044,0.69548488,30341.582000000002,Hispanic All
211,2006,Hispanic,1,All,0.36449271,0.31459248,0.12169787,0.60219002,0.74347067,0.60260427,0.64798224,29415.557,Hispanic All
