year,wbhao,centcity,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2000,White,1,1st Generation,.10322663,.41886783,.80824196,.78577942,.64214945,.43755141,,,,36143.359
2000,Hispanic,0,1st Generation,.46676683,.11219653,.57519704,.74439979,.74501407,.74652982,,,,21344.504
2000,Hispanic,1,1st Generation,.51738942,.088088237,.50833839,.72810006,.64561468,.73316348,,,,18512.799
2000,White,0,2nd Generation,.034453392,.39862117,.91380227,.85632646,.67016363,.48389202,,,,47622.434
2000,White,1,2nd Generation,.045572195,.5129894,.88862187,.84664214,.50545347,.38073605,,,,45561.977
2000,Hispanic,0,2nd Generation,.20610201,.15713543,.81008708,.79922527,.63519162,.67816639,,,,29597.711
2000,Hispanic,1,2nd Generation,.22733305,.15585782,.76946867,.73614663,.47999233,.57757241,,,,28459.338
2000,White,0,3rd Generation,.063344769,.28984982,.8920874,.83252424,.71158731,.52863383,,,,40269.965
2000,White,1,3rd Generation,.050247982,.42301065,.8826291,.84129268,.55039054,.40219039,,,,43707.852
2000,Hispanic,0,3rd Generation,.14804564,.14918289,.80964267,.77684194,.6554513,.67040545,,,,28968.76
2000,Hispanic,1,3rd Generation,.18311296,.1258193,.76939237,.78393269,.55233502,.59265786,,,,28482.105
2000,White,0,All,.06254366,.29827416,.89151806,.83256382,.71160889,.52684975,.033553507,.045203917,.92124259,40745.234
2000,White,1,All,.054381121,.42809767,.87679124,.83698899,.55532509,.40384224,.083343521,.060372978,.85628349,43234.004
2000,Hispanic,0,All,.33121246,.13084035,.68346584,.76380867,.69966906,.71294278,.53856826,.19831972,.26311204,24190.438
2000,Hispanic,1,All,.39002907,.11012338,.61536843,.74053872,.59155852,.67226774,.5900718,.2186563,.19127189,21344.504
2001,White,0,1st Generation,.079625323,.42521268,.84767658,.78151554,.7705459,.53005195,,,,37159.684
2001,White,1,1st Generation,.10865521,.44605729,.83039272,.7470727,.64671254,.44868606,,,,38216.672
2001,Hispanic,0,1st Generation,.4877798,.094009571,.60486293,.74545342,.73471236,.74104416,,,,21181.02
