,% Employed,% Married,% less than High School diploma,% with College Degree,% with Health Insurance,Median Individual Real Income,igen,scol,wbhao,wbhao_igen,year
41,0.70941073,0.46864039,0.10014895,0.28406978,0.78864777,36131.039,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2013
42,0.70976192,0.70814854,0.5099023,0.060614575,0.51604909,24420.807,1st Generation,0.17538399999999998,Mexican,Mexican 1st Generation,2014
43,0.7696963000000001,0.49296096,0.13020849,0.19623244,0.7632882,30528.042999999998,2nd Generation,0.50515682,Mexican,Mexican 2nd Generation,2014
42,0.74128062,0.59461296,0.29324347,0.21321812,0.64594197,25926.756,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2014
43,0.76479346,0.48438719,0.08494094,0.280269,0.79292244,36631.211,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2014
44,0.71849775,0.69913703,0.47958094,0.075137697,0.60410553,25029.754,1st Generation,0.19322172,Mexican,Mexican 1st Generation,2015
45,0.78806514,0.5368939,0.10553841,0.18930539,0.8148759,35040.254,2nd Generation,0.52550352,Mexican,Mexican 2nd Generation,2015
44,0.74443823,0.60494745,0.30861351,0.20838656,0.68235052,26104.987999999998,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2015
45,0.76858497,0.45787624,0.092973605,0.26248059,0.86009037,38048.711,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2015
0,0.72175699,0.68981552,0.45494261,0.058018245,0.65519774,26000.0,1st Generation,0.17193827,Mexican,Mexican 1st Generation,2016
1,0.78099602,0.47701275,0.10769655,0.19075875,0.83988231,34001.0,2nd Generation,0.5164295999999999,Mexican,Mexican 2nd Generation,2016
0,0.78302222,0.60170442,0.27047348,0.21774551,0.74511188,30000.0,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2016
1,0.75912982,0.45991236,0.089835748,0.30093998,0.90868092,40000.0,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2016
